Chip name,Capacity (bits),RAM type,Transistor count,Date of introduction,Manufacturer(s),MOS process,Area,Ref
N/A,1-bit,SRAM (cell),6,1963,Fairchild,N/A,N/A,[179]
N/A,1-bit,DRAM (cell),1,1965,Toshiba,N/A,N/A,[180][181]
?,8-bit,SRAM (bipolar),48,1965,"SDS, Signetics",?,?,[179]
SP95,16-bit,SRAM (bipolar),80,1965,IBM,?,?,[182]
TMC3162,16-bit,SRAM (TTL),96,1966,Transitron,?,?,[175]
?,?,SRAM (MOS),?,1966,NEC,?,?,[174]
?,256-bit,DRAM (IC),256,1968,Fairchild,?,?,[175]
?,64-bit,SRAM (PMOS),384,1968,Fairchild,?,?,[174]
?,144-bit,SRAM (NMOS),864,1968,NEC,?,?,[174]
1101,256-bit,SRAM (PMOS),"1,536",1969,Intel,"12,000 nm",?,[183][184][185]
1102,1 Kb,DRAM (PMOS),"3,072",1970,"Intel, Honeywell",?,?,[174]
1103,1 Kb,DRAM (PMOS),"3,072",1970,Intel,"8,000 nm",10 mm²,[186][173][187][175]
μPD403,1 Kb,DRAM (NMOS),"3,072",1971,NEC,?,?,[188]
?,2 Kb,DRAM (PMOS),"6,144",1971,General Instrument,?,12.7 mm²,[189]
2102,1 Kb,SRAM (NMOS),"6,144",1972,Intel,?,?,[183][190]
?,8 Kb,DRAM (PMOS),"8,192",1973,IBM,?,18.8 mm²,[189]
5101,1 Kb,SRAM (CMOS),"6,144",1974,Intel,?,?,[183]
2116,16 Kb,DRAM (NMOS),"16,384",1975,Intel,?,?,[191][175]
2114,4 Kb,SRAM (NMOS),"24,576",1976,Intel,?,?,[183][192]
?,4 Kb,SRAM (CMOS),"24,576",1977,Toshiba,?,?,[184]
?,64 Kb,DRAM (NMOS),"65,536",1977,NTT,?,35.4 mm²,[189]
?,64 Kb,DRAM (VMOS),"65,536",1979,Siemens,?,25.2 mm²,[189]
?,16 Kb,SRAM (CMOS),"98,304",1980,"Hitachi, Toshiba",?,?,[193]
?,256 Kb,DRAM (NMOS),"262,144",1980,NEC,"1,500 nm",41.6 mm²,[189]
?,256 Kb,DRAM (NMOS),"262,144",1980,NTT,"1,000 nm",34.4 mm²,[189]
?,64 Kb,SRAM (CMOS),"393,216",1980,Matsushita,?,?,[193]
?,288 Kb,DRAM,"294,912",1981,IBM,?,25 mm²,[194]
?,64 Kb,SRAM (NMOS),"393,216",1982,Intel,"1,500 nm",?,[193]
?,256 Kb,SRAM (CMOS),"1,572,864",1984,Toshiba,"1,200 nm",?,[193][185]
?,8 Mb,DRAM,"8,388,608","January 5, 1984",Hitachi,?,?,[195][196]
?,16 Mb,DRAM (CMOS),"16,777,216",1987,NTT,700 nm,148 mm²,[189]
?,4 Mb,SRAM (CMOS),"25,165,824",1990,"NEC, Toshiba, Hitachi, Mitsubishi",?,?,[193]
?,64 Mb,DRAM (CMOS),"67,108,864",1991,"Matsushita, Mitsubishi, Fujitsu, Toshiba",400 nm,?,[193]
KM48SL2000,16 Mb,SDRAM,"16,777,216",1992,Samsung,?,?,[197][198]
?,16 Mb,SRAM (CMOS),"100,663,296",1992,"Fujitsu, NEC",400 nm,?,[193]
?,256 Mb,DRAM (CMOS),"268,435,456",1993,"Hitachi, NEC",250 nm,?,[193]
?,1 Gb,DRAM,"1,073,741,824","January 9, 1995",NEC,250 nm,?,[199][200]
?,1 Gb,DRAM,"1,073,741,824","January 9, 1995",Hitachi,160 nm,?,[199][200]
?,1 Gb,SDRAM,"1,073,741,824",1996,Mitsubishi,150 nm,?,[193]
?,1 Gb,SDRAM (SOI),"1,073,741,824",1997,Hyundai,?,?,[201]
?,4 Gb,DRAM (4-bit),"1,073,741,824",1997,NEC,150 nm,?,[193]
?,4 Gb,DRAM,"4,294,967,296",1998,Hyundai,?,?,[201]
?,8 Gb,SDRAM (DDR3),"8,589,934,592",April 2008,Samsung,50 nm,?,[202]
?,16 Gb,SDRAM (DDR3),"17,179,869,184",2008,Samsung,50 nm,?,[202]
?,32 Gb,SDRAM (HBM2),"34,359,738,368",2016,Samsung,20 nm,?,[203]
?,64 Gb,SDRAM (HBM2),"68,719,476,736",2017,Samsung,20 nm,?,[203]
?,128 Gb,SDRAM (DDR4),"137,438,953,472",2018,Samsung,10 nm,?,[204]
?,?,RRAM[205] (3DSoC)[206],?,2019,Skywater[207],90 nm,?,
